	sample_acc	n_reads	n_classified_reads	source	source_class	n_bacterial_reads	species	n_origin_reads	sample_loc	project
75	SRS011529	62495197	5493217	feces	Human feces	5372826	Providencia rettgeri	0	Unknown	Human Microbiome Project
76	SRS011529	62495197	5493217	feces	Human feces	5372826	Providencia stuartii	0	Unknown	Human Microbiome Project
77	SRS011529	62495197	5493217	feces	Human feces	5372826	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
78	SRS011529	62495197	5493217	feces	Human feces	5372826	Atlantibacter hermannii	1	Unknown	Human Microbiome Project
79	SRS011529	62495197	5493217	feces	Human feces	5372826	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
80	SRS011529	62495197	5493217	feces	Human feces	5372826	Aeromonas media	0	Unknown	Human Microbiome Project
81	SRS011586	57681957	6062516	feces	Human feces	5854335	Morganella morganii	0	Unknown	Human Microbiome Project
82	SRS011586	57681957	6062516	feces	Human feces	5854335	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
83	SRS011586	57681957	6062516	feces	Human feces	5854335	Proteus terrae	0	Unknown	Human Microbiome Project
84	SRS011586	57681957	6062516	feces	Human feces	5854335	Providencia rettgeri	0	Unknown	Human Microbiome Project
85	SRS011586	57681957	6062516	feces	Human feces	5854335	Providencia stuartii	0	Unknown	Human Microbiome Project
86	SRS011586	57681957	6062516	feces	Human feces	5854335	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
87	SRS011586	57681957	6062516	feces	Human feces	5854335	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
88	SRS011586	57681957	6062516	feces	Human feces	5854335	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
89	SRS011586	57681957	6062516	feces	Human feces	5854335	Aeromonas media	0	Unknown	Human Microbiome Project
90	SRS012273	53769964	5660604	feces	Human feces	5337863	Morganella morganii	9	Unknown	Human Microbiome Project
91	SRS012273	53769964	5660604	feces	Human feces	5337863	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
92	SRS012273	53769964	5660604	feces	Human feces	5337863	Proteus terrae	0	Unknown	Human Microbiome Project
93	SRS012273	53769964	5660604	feces	Human feces	5337863	Providencia rettgeri	1	Unknown	Human Microbiome Project
94	SRS012273	53769964	5660604	feces	Human feces	5337863	Providencia stuartii	0	Unknown	Human Microbiome Project
95	SRS012273	53769964	5660604	feces	Human feces	5337863	Kluyvera cryocrescens	15	Unknown	Human Microbiome Project
96	SRS012273	53769964	5660604	feces	Human feces	5337863	Atlantibacter hermannii	21	Unknown	Human Microbiome Project
97	SRS012273	53769964	5660604	feces	Human feces	5337863	Citrobacter amalonaticus	2	Unknown	Human Microbiome Project
98	SRS012273	53769964	5660604	feces	Human feces	5337863	Aeromonas media	2	Unknown	Human Microbiome Project
99	SRS012849	41675892	2481611	feces	Human feces	2398092	Morganella morganii	9	Unknown	Human Microbiome Project
100	SRS012849	41675892	2481611	feces	Human feces	2398092	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
101	SRS012849	41675892	2481611	feces	Human feces	2398092	Proteus terrae	0	Unknown	Human Microbiome Project
102	SRS012849	41675892	2481611	feces	Human feces	2398092	Providencia rettgeri	3	Unknown	Human Microbiome Project
103	SRS012849	41675892	2481611	feces	Human feces	2398092	Providencia stuartii	0	Unknown	Human Microbiome Project
104	SRS012849	41675892	2481611	feces	Human feces	2398092	Kluyvera cryocrescens	14	Unknown	Human Microbiome Project
105	SRS012849	41675892	2481611	feces	Human feces	2398092	Atlantibacter hermannii	12	Unknown	Human Microbiome Project
106	SRS012849	41675892	2481611	feces	Human feces	2398092	Citrobacter amalonaticus	6	Unknown	Human Microbiome Project
107	SRS012849	41675892	2481611	feces	Human feces	2398092	Aeromonas media	4	Unknown	Human Microbiome Project
108	SRS012902	50986836	11148432	feces	Human feces	10660921	Morganella morganii	5	Unknown	Human Microbiome Project
109	SRS012902	50986836	11148432	feces	Human feces	10660921	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
110	SRS012902	50986836	11148432	feces	Human feces	10660921	Proteus terrae	0	Unknown	Human Microbiome Project
111	SRS012902	50986836	11148432	feces	Human feces	10660921	Providencia rettgeri	0	Unknown	Human Microbiome Project
112	SRS012902	50986836	11148432	feces	Human feces	10660921	Providencia stuartii	0	Unknown	Human Microbiome Project
113	SRS012902	50986836	11148432	feces	Human feces	10660921	Kluyvera cryocrescens	4	Unknown	Human Microbiome Project
114	SRS012902	50986836	11148432	feces	Human feces	10660921	Atlantibacter hermannii	3	Unknown	Human Microbiome Project
115	SRS012902	50986836	11148432	feces	Human feces	10660921	Citrobacter amalonaticus	2	Unknown	Human Microbiome Project
116	SRS012902	50986836	11148432	feces	Human feces	10660921	Aeromonas media	10	Unknown	Human Microbiome Project
117	SRS012969	59626763	3482508	feces	Human feces	3396558	Morganella morganii	0	Unknown	Human Microbiome Project
118	SRS012969	59626763	3482508	feces	Human feces	3396558	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
119	SRS012969	59626763	3482508	feces	Human feces	3396558	Proteus terrae	0	Unknown	Human Microbiome Project
